consignorId,consigneeName,address1,cityId,branchId
59,"Avenue Supermarts Ltd.,","Avenue Supermarts Ltd.,, Karakambadi Tirupati Dmart, Karakambadi, Chittoor",785,510
59,SANGAMESHWARA FOODS,VBR COLONY OLD ALWAL,504,278
59,"Reliance Retail Ltd.,","Reliance Retail Ltd.,, R S No. 93/2, 93/3, and 93/1A, Hukumpet Village Rajamahendravaram, East Godavari, Rajahmundry, Andhra Pradesh",669,
59,"Avenue Supermarts Ltd.,",ATTAVAR ROAD MANGALORE,486,151
59,KIRTHI AGENCY,SHRI BALLA RAJESHYAM BASAYYA DATTA NAGAR,549,182
59,MADHU SANKAR AGENCIES,UP STAIR NEHRU STREET,497,625
59,Metro Cash N Carry,"Metro Cash N Carry, SURVEY NO 165/P, MARIKA VALASA, VISAKHAPATNA",820,544
59,SRI VINAYAKA DISTRIBUTOR,YAPRAL KINDI BASTI,504,278
59,LOCAL BUY TECHNOLOGIES PRIVATE LIMITED,KSRME COLLOGE POST,326,96
59,Metro Cash N Carry,OPP AMARGOL BUSSTOP HUBLI,284,157
59,ZOMATO HYPERPURE PRIVATE LIMITED,THIRUMUDIVAKKAM CHENNAI,142,123
59,"Avenue Supermarts Ltd.,","Avenue Supermarts Ltd.,, MSR Nagar Nellore Dmart, MSR Nagar, Nellore",574,389
59,"Reliance Retail Ltd.,",NUNNA VIJAYAWADA,584,603
59,"Ratnadeep Retail Pvt. Ltd.,","Reliance Retail Ltd.,, R S No. 93/2, 93/3, and 93/1A, Hukumpet Village Rajamahendravaram, East Godavari, Rajahmundry, Andhra Pradesh",669,
59,Metro Cash N Carry,"Metro Cash N Carry, SURVEY NO. 447/2, DOOR NO. 15-13-30, GUNTUR.",259,575
59,"Avenue Supermarts Ltd.,","Avenue Supermarts Ltd.,, Tirupathi Andhra Pradesh Dmart, A I R Bypass Road, Tirupathi, Chittoor",786,510
59,VYSHNAVI ENTERPRISES,JAGATGIRI GUTTA LANE,504,278
59,H RAMKUMAR WHOLESALE KIRANA AND OIL MERCHANTS,PEDDA BAZAR ROAD,419,186
59,RAJESHWARI AGENCIES,TEACHERS COLONY KOSIGI,412,268
59,SURESH MARKETING,OLD GOOTY ROAD MARKET AREA,258,22
59,SRI SIVARANJANI AGENCIES,NGOS COLONY ADONI,5,337
59,DESI TEA TIME,THADITHOTA RAJAMANDRAVARAM,669,436
59,VASAVI ENTERPRISES,ALKAPURI TOWNSHIP PUPPALAGUDA,674,195
59,SRI VINAYAKA DISTRIBUTOR,YAPRAL KINDI BASTI,504,278
59,KIRTHI AGENCY,DATTA NAGAR NANDED,549,182
59,GHK ENTERPRISES,VADIGEPALLE ANANTPUR,805,32
59,VASAVI ENTERPRISES,HYDERABAD RANGAREDDY  SOUNJANYA,292,195
59,SANGAMESHWARA FOODS,SECUNDERABAD MALKAJGIRI ,292,278
59,"Reliance Retail Ltd.,","Reliance Retail Ltd.,, R S No. 93/2, 93/3, and 93/1A, Hukumpet Village Rajamahendravaram, East Godavari, Rajahmundry, Andhra Pradesh",669,
59,Metro Cash N Carry,OPP AMARGOL BUS STOP,284,157
59,"Reliance Retail Ltd.,",NUNNA VIJAYAWADA,584,603
59,LOCALBUY TECHNOLOGIES PRIVATE LIMITED,KSRME COLLEGE POST,326,96
59,"Avenue Supermarts Ltd.,",NH DAREBAIL MANGALORE,486,151
